customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,monthly_debt,num_active_loans
18.0,23,92111.0,RENT,7.0,MEDICAL,E,35000.0,20.25,10,N,4,DEFAULT,23433.757702116527,2
19.0,23,113000.0,RENT,8.0,DEBTCONSOLIDATION,C,35000.0,18.25,10,N,4,DEFAULT,28108.927402154328,5
20.0,24,10800.0,MORTGAGE,8.0,EDUCATION,A,1750.0,10.99,4,N,2,DEFAULT,3797.266296148443,2
21.0,25,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,10,,4,NO DEFAULT,66601.94008121372,3
22.0,25,137000.0,RENT,9.0,PERSONAL,D,34800.0,16.77,10,Y,2,NO DEFAULT,28059.858479333994,2
23.0,22,65000.0,RENT,4.0,EDUCATION,C,34000.0,17.58,10,N,4,DEFAULT,30349.432618012284,1
24.0,24,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,4,Y,3,NO DEFAULT,2032.464065999137,4
25.0,22,80000.0,RENT,3.0,PERSONAL,C,33950.0,14.54,10,Y,4,DEFAULT,24915.360556679014,5
26.0,24,67746.0,RENT,8.0,HOMEIMPROVEMENT,B,33000.0,12.68,10,N,3,DEFAULT,19781.73619757498,3
27.0,21,11000.0,MORTGAGE,3.0,VENTURE,D,4575.0,17.74,1,Y,3,DEFAULT,3546.3517872001376,2
28.0,23,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,3,,3,NO DEFAULT,3799.863420271738,3
29.0,24,65000.0,RENT,6.0,HOMEIMPROVEMENT,A,32500.0,9.99,10,,3,NO DEFAULT,24131.987953474585,2
30.0,21,11389.0,OTHER,5.0,EDUCATION,B,4000.0,12.84,1,Y,2,DEFAULT,5543.669246897148,5
31.0,21,11520.0,OWN,5.0,MEDICAL,A,2000.0,11.12,1,N,3,DEFAULT,4019.4033409514104,3
32.0,25,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,10,,2,NO DEFAULT,16792.92366428366,5
33.0,26,95000.0,RENT,7.0,HOMEIMPROVEMENT,B,31050.0,14.17,10,Y,3,DEFAULT,45537.97143917512,4
34.0,25,306000.0,RENT,2.0,DEBTCONSOLIDATION,B,24250.0,13.85,10,,3,NO DEFAULT,37628.150235814814,1
35.0,26,300000.0,MORTGAGE,10.0,MEDICAL,B,7800.0,13.49,6,,4,NO DEFAULT,97292.17662412781,1
36.0,21,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1,N,4,DEFAULT,4139.74575025666,4
37.0,22,48000.0,RENT,1.0,EDUCATION,D,30000.0,18.39,10,N,2,DEFAULT,8398.532786042204,3
38.0,24,64000.0,RENT,8.0,DEBTCONSOLIDATION,C,30000.0,14.54,10,Y,3,DEFAULT,7529.840810765626,4
39.0,25,75000.0,RENT,4.0,HOMEIMPROVEMENT,C,30000.0,16.89,10,Y,4,DEFAULT,15813.268643004472,5
40.0,23,71500.0,RENT,3.0,DEBTCONSOLIDATION,C,30000.0,,10,N,4,DEFAULT,26413.237777746155,2
41.0,26,62050.0,RENT,6.0,MEDICAL,D,30000.0,17.99,10,N,2,DEFAULT,18749.30425416221,5
42.0,24,12000.0,OWN,4.0,VENTURE,A,2500.0,12.69,4,N,3,DEFAULT,5464.592347141795,4
43.0,26,300000.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,10,,4,NO DEFAULT,36836.409957713746,5
44.0,23,300000.0,OWN,1.0,EDUCATION,E,24250.0,19.41,10,Y,2,NO DEFAULT,63878.1049417494,4
45.0,26,300000.0,OWN,9.0,HOMEIMPROVEMENT,A,10000.0,10.38,6,,4,NO DEFAULT,65376.023712182425,1
46.0,26,300000.0,MORTGAGE,0.0,EDUCATION,C,25000.0,15.33,10,,3,NO DEFAULT,79209.67805880164,3
47.0,25,300000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,18000.0,16.45,10,,3,NO DEFAULT,42825.46269774116,5
48.0,26,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,10,,3,NO DEFAULT,31734.254463321577,5
49.0,22,66300.0,RENT,4.0,MEDICAL,A,30000.0,12.69,10,,3,NO DEFAULT,28033.639275666515,1
50.0,26,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,10,,3,NO DEFAULT,23639.70416699188,3
51.0,24,78000.0,RENT,4.0,DEBTCONSOLIDATION,C,30000.0,,10,Y,4,DEFAULT,24113.92426839521,5
52.0,23,78000.0,RENT,7.0,DEBTCONSOLIDATION,E,30000.0,18.62,10,Y,3,DEFAULT,25338.807238400008,2
53.0,23,92004.0,RENT,6.0,PERSONAL,B,30000.0,15.23,10,Y,3,DEFAULT,29781.084553271263,4
54.0,23,97000.0,RENT,7.0,VENTURE,A,30000.0,10.65,10,Y,2,NO DEFAULT,17694.897500325947,3
55.0,25,120000.0,RENT,9.0,EDUCATION,A,30000.0,7.9,10,,4,NO DEFAULT,58367.54540586203,4
56.0,26,280000.0,RENT,4.0,PERSONAL,B,10000.0,15.96,6,Y,3,NO DEFAULT,41555.747985144095,5
57.0,26,277104.0,RENT,0.0,VENTURE,A,20000.0,11.48,10,,3,NO DEFAULT,68985.47165785565,4
58.0,23,277000.0,OWN,3.0,PERSONAL,A,35000.0,,10,,4,NO DEFAULT,136360.92813151848,1
59.0,25,128000.0,RENT,9.0,PERSONAL,A,30000.0,7.29,10,,4,NO DEFAULT,25975.492639309974,4
60.0,24,12000.0,OWN,2.0,VENTURE,D,1750.0,,4,Y,3,NO DEFAULT,3725.982717281052,2
61.0,21,131000.0,RENT,0.0,VENTURE,A,30000.0,5.99,10,,4,NO DEFAULT,24942.37647791813,2
62.0,22,275000.0,OWN,6.0,VENTURE,A,12000.0,11.58,10,,2,NO DEFAULT,108579.14744662415,3
63.0,26,263000.0,MORTGAGE,0.0,EDUCATION,A,10000.0,,6,N,4,DEFAULT,117797.64849642925,4
64.0,25,221850.0,MORTGAGE,9.0,MEDICAL,C,25000.0,15.7,10,N,2,DEFAULT,46562.74537470761,3
65.0,22,70000.0,RENT,6.0,EDUCATION,C,29100.0,15.99,10,N,3,DEFAULT,21007.420843880736,3
66.0,22,12000.0,MORTGAGE,7.0,EDUCATION,C,1500.0,14.84,2,Y,3,NO DEFAULT,4313.674873226893,2
67.0,26,260000.0,OWN,10.0,HOMEIMPROVEMENT,A,28000.0,10.99,10,,3,NO DEFAULT,124906.22838248832,5
68.0,25,259000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,C,20000.0,14.42,10,Y,2,NO DEFAULT,70897.70141080802,4
69.0,24,255000.0,MORTGAGE,9.0,EDUCATION,A,9600.0,6.99,4,,2,NO DEFAULT,54736.874863623445,1
70.0,25,250000.0,RENT,2.0,MEDICAL,B,25000.0,13.49,10,,4,NO DEFAULT,55100.47078806151,5
71.0,25,12000.0,OWN,0.0,MEDICAL,B,3000.0,,5,N,3,DEFAULT,4868.074672777109,5
72.0,22,56950.0,RENT,6.0,MEDICAL,A,28000.0,,10,,2,NO DEFAULT,16579.522277423424,5
73.0,21,12000.0,OWN,6.0,EDUCATION,B,3000.0,13.61,1,Y,3,DEFAULT,4623.46604451365,5
74.0,23,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,10,,2,NO DEFAULT,31177.658448455855,4
75.0,26,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,10,,3,NO DEFAULT,40202.44402863892,5
76.0,26,12000.0,OWN,2.0,EDUCATION,A,6100.0,7.51,6,N,3,DEFAULT,1827.2953371032518,5
77.0,22,88000.0,RENT,6.0,VENTURE,A,28000.0,9.91,10,,3,NO DEFAULT,41300.308254547905,2
78.0,21,12000.0,OWN,0.0,PERSONAL,B,4200.0,13.48,1,Y,4,DEFAULT,1983.4590727146733,2
79.0,22,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,2,N,2,DEFAULT,3338.066879860325,1
80.0,24,83004.0,RENT,0.0,VENTURE,C,28000.0,15.99,10,Y,4,DEFAULT,26901.348695320037,3
81.0,24,250000.0,RENT,2.0,EDUCATION,B,18000.0,12.98,10,Y,3,NO DEFAULT,61700.44969193295,3
82.0,144,250000.0,RENT,4.0,VENTURE,B,4800.0,13.57,4,,3,NO DEFAULT,65289.00041219876,4
83.0,25,100000.0,RENT,5.0,DEBTCONSOLIDATION,A,28000.0,12.69,10,,3,NO DEFAULT,34722.94008044783,3
84.0,26,110000.0,RENT,10.0,EDUCATION,A,28000.0,8.9,10,,2,NO DEFAULT,40200.19492274643,5
85.0,26,12000.0,OWN,0.0,DEBTCONSOLIDATION,A,2700.0,,6,N,4,DEFAULT,5134.601431734512,2
86.0,22,108000.0,RENT,6.0,EDUCATION,A,28000.0,,10,,4,NO DEFAULT,25636.349154359737,5
87.0,23,151200.0,RENT,7.0,DEBTCONSOLIDATION,A,28000.0,11.11,10,,2,NO DEFAULT,24521.42238888029,4
88.0,24,69000.0,RENT,2.0,HOMEIMPROVEMENT,A,27600.0,,10,,2,NO DEFAULT,19653.53792425558,2
89.0,21,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,D,3250.0,15.68,1,Y,3,DEFAULT,5685.091621766736,3
90.0,22,70000.0,RENT,4.0,EDUCATION,B,27500.0,13.06,10,Y,3,DEFAULT,26462.506551011196,5
91.0,22,240000.0,OWN,6.0,PERSONAL,A,25000.0,,10,Y,2,NO DEFAULT,46929.08951654289,3
92.0,26,73200.0,RENT,5.0,VENTURE,C,27050.0,15.62,10,Y,2,DEFAULT,12331.362756289194,2
93.0,24,83000.0,RENT,5.0,PERSONAL,B,27000.0,13.49,10,Y,2,DEFAULT,39077.16733757263,2
94.0,24,73399.0,RENT,0.0,VENTURE,C,27000.0,,10,N,3,DEFAULT,19257.3287728801,4
95.0,23,62500.0,RENT,7.0,MEDICAL,A,26000.0,11.71,10,,2,NO DEFAULT,16858.38347017241,1
96.0,23,120000.0,RENT,1.0,EDUCATION,A,25600.0,12.69,10,,3,NO DEFAULT,44537.21885459394,5
97.0,24,12360.0,OWN,2.0,MEDICAL,B,1600.0,13.57,4,,3,NO DEFAULT,5307.6855649215295,3
98.0,22,60000.0,RENT,0.0,VENTURE,A,25475.0,10.99,10,,3,NO DEFAULT,15146.70815408312,4
99.0,25,234000.0,MORTGAGE,3.0,MEDICAL,B,20000.0,14.27,10,Y,4,NO DEFAULT,70474.16750352824,2
100.0,24,234000.0,OWN,8.0,HOMEIMPROVEMENT,A,20000.0,8.88,10,,4,NO DEFAULT,106694.37180550848,5
101.0,26,234000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,A,21600.0,12.18,10,,3,NO DEFAULT,24468.387701761643,4
102.0,25,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,11900.0,14.42,10,Y,3,DEFAULT,78320.86823135293,5
103.0,26,232500.0,MORTGAGE,0.0,MEDICAL,B,25000.0,14.17,10,Y,2,NO DEFAULT,52783.33077372631,1
104.0,25,230000.0,MORTGAGE,5.0,MEDICAL,B,35000.0,13.99,10,,4,NO DEFAULT,40614.53959563487,3
105.0,23,83000.0,RENT,7.0,EDUCATION,A,25300.0,10.99,10,,3,NO DEFAULT,36867.28709469279,4
106.0,22,12600.0,MORTGAGE,,PERSONAL,A,2000.0,5.42,2,N,4,DEFAULT,5282.298153737359,2
107.0,25,12600.0,OWN,3.0,PERSONAL,B,1750.0,13.61,5,,3,NO DEFAULT,4348.231340983427,4
108.0,21,42500.0,RENT,3.0,EDUCATION,B,25000.0,12.73,10,Y,3,DEFAULT,12528.78443342981,2
109.0,24,41000.0,RENT,2.0,HOMEIMPROVEMENT,C,25000.0,,10,N,3,DEFAULT,15616.51841736424,4
110.0,25,12816.0,OWN,0.0,DEBTCONSOLIDATION,B,3000.0,12.87,5,Y,4,DEFAULT,3378.621615396927,2
111.0,24,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,A,3650.0,9.91,4,N,3,DEFAULT,4608.594460015542,1
112.0,26,226000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,A,20000.0,11.49,10,,4,NO DEFAULT,23564.614031358284,3
113.0,25,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,D,30000.0,19.91,10,Y,2,NO DEFAULT,38115.50450966983,4
114.0,26,213000.0,MORTGAGE,6.0,EDUCATION,A,35000.0,10.65,10,N,2,DEFAULT,43497.99399721548,2
115.0,24,225000.0,RENT,0.0,MEDICAL,A,6000.0,,4,,4,NO DEFAULT,101363.39687069699,5
116.0,24,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4500.0,11.83,4,N,4,DEFAULT,2802.1640256606615,1
117.0,23,12996.0,OWN,0.0,DEBTCONSOLIDATION,B,2400.0,13.49,3,Y,2,DEFAULT,6114.818529890919,3
118.0,22,42000.0,RENT,6.0,MEDICAL,C,25000.0,14.59,10,Y,2,DEFAULT,20629.019450229895,3
119.0,26,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,10,N,4,DEFAULT,9318.595418352064,3
120.0,25,12996.0,OWN,1.0,MEDICAL,C,3600.0,14.59,5,N,3,DEFAULT,5172.604228056846,1
121.0,22,12996.0,OWN,1.0,EDUCATION,A,4750.0,,2,N,3,DEFAULT,2622.4238707192444,3
122.0,25,42360.0,RENT,1.0,EDUCATION,D,25000.0,16.35,10,Y,3,DEFAULT,16915.090259964818,1
123.0,21,49000.0,RENT,4.0,EDUCATION,B,25000.0,10.99,10,N,2,DEFAULT,20271.66034505106,5
124.0,25,225000.0,MORTGAGE,0.0,VENTURE,E,25000.0,18.67,10,,2,NO DEFAULT,45711.883999839876,5
125.0,26,225000.0,RENT,1.0,EDUCATION,A,3000.0,9.32,6,,4,NO DEFAULT,51594.99917959371,2
126.0,23,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,3,,2,NO DEFAULT,59894.32049808686,2
127.0,26,225000.0,MORTGAGE,2.0,VENTURE,A,25000.0,10.08,10,,2,NO DEFAULT,92965.02662575513,1
128.0,22,49464.0,RENT,5.0,PERSONAL,B,25000.0,11.83,10,N,3,DEFAULT,23693.098336188254,4
129.0,23,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,10,,3,NO DEFAULT,14918.34810369284,5
130.0,25,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,10,N,2,DEFAULT,21692.810426723187,3
131.0,24,44000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,15.33,10,N,2,DEFAULT,9598.48444208644,3
132.0,23,50000.0,RENT,1.0,VENTURE,A,25000.0,11.83,10,Y,4,NO DEFAULT,12973.162771726746,1
133.0,22,50004.0,RENT,0.0,VENTURE,A,25000.0,10.36,10,,2,NO DEFAULT,9423.212468384985,4
134.0,22,50004.0,RENT,3.0,VENTURE,B,25000.0,12.23,10,N,3,DEFAULT,17941.678714625952,3
135.0,22,52000.0,RENT,2.0,EDUCATION,A,25000.0,11.11,10,,4,NO DEFAULT,15923.8350508063,2
136.0,23,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,3,N,4,DEFAULT,4625.14825114913,1
137.0,24,220000.0,MORTGAGE,1.0,EDUCATION,A,25000.0,11.58,10,,2,NO DEFAULT,82191.42366634295,1
138.0,23,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,10,,3,NO DEFAULT,46247.71297867888,5
139.0,25,216000.0,MORTGAGE,2.0,EDUCATION,C,25000.0,16.07,10,,3,NO DEFAULT,75864.06287172448,4
140.0,26,216000.0,MORTGAGE,10.0,EDUCATION,B,20000.0,14.22,10,Y,2,NO DEFAULT,83662.86715066682,3
141.0,23,215000.0,MORTGAGE,7.0,MEDICAL,B,35000.0,14.79,10,Y,3,NO DEFAULT,54189.453470167326,1
142.0,26,215000.0,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,10,,2,NO DEFAULT,25039.900903701124,5
143.0,23,52000.0,RENT,1.0,PERSONAL,B,25000.0,13.22,10,N,2,DEFAULT,21886.282062910897,2
144.0,26,46000.0,RENT,2.0,DEBTCONSOLIDATION,C,25000.0,11.86,10,N,4,DEFAULT,9703.965876860757,5
145.0,22,53000.0,RENT,5.0,EDUCATION,B,25000.0,13.43,10,Y,4,DEFAULT,9542.443270524127,4
146.0,26,47000.0,RENT,0.0,HOMEIMPROVEMENT,C,25000.0,15.28,10,Y,2,DEFAULT,19842.60804358356,4
147.0,23,47000.0,RENT,1.0,VENTURE,D,25000.0,17.93,10,N,2,DEFAULT,7890.8514304131795,5
148.0,23,13200.0,MORTGAGE,2.0,EDUCATION,A,1400.0,9.25,3,,4,NO DEFAULT,6376.116657539057,4
149.0,21,13200.0,OWN,0.0,VENTURE,B,4500.0,12.98,1,N,4,DEFAULT,3114.448864808104,2
150.0,22,210000.0,MORTGAGE,6.0,VENTURE,A,16000.0,10.62,10,,4,NO DEFAULT,52054.738136380365,2
151.0,26,210000.0,OWN,10.0,PERSONAL,A,22000.0,11.83,10,,4,NO DEFAULT,32344.039682237784,2
152.0,26,48000.0,RENT,5.0,VENTURE,E,25000.0,18.43,10,N,2,DEFAULT,20452.93264665656,3
153.0,22,54996.0,RENT,6.0,EDUCATION,A,25000.0,,10,,4,NO DEFAULT,14985.562534417293,5
154.0,24,55000.0,RENT,4.0,HOMEIMPROVEMENT,C,25000.0,,10,Y,4,DEFAULT,15156.056498683298,1
155.0,23,55000.0,RENT,4.0,EDUCATION,A,25000.0,11.36,10,,3,NO DEFAULT,20288.064183185495,2
156.0,23,55000.0,RENT,4.0,EDUCATION,C,25000.0,15.65,10,Y,3,DEFAULT,25965.564548083083,4
157.0,24,55164.0,RENT,8.0,PERSONAL,B,25000.0,13.22,10,Y,4,DEFAULT,25211.17124664168,4
158.0,26,56000.0,RENT,4.0,DEBTCONSOLIDATION,B,25000.0,12.87,10,N,2,DEFAULT,16411.406246407085,3
159.0,24,203500.0,OWN,8.0,MEDICAL,B,20000.0,13.04,10,,3,NO DEFAULT,57664.91512315373,2
160.0,23,190000.0,MORTGAGE,5.0,EDUCATION,E,22000.0,17.58,10,Y,3,DEFAULT,60829.22610899005,1
161.0,23,13920.0,OWN,2.0,PERSONAL,D,7750.0,17.04,3,N,4,DEFAULT,6917.237779489813,2
162.0,24,60000.0,RENT,0.0,PERSONAL,A,25000.0,10.99,10,N,3,DEFAULT,13444.849744392268,5
163.0,24,60000.0,RENT,2.0,PERSONAL,A,25000.0,11.11,10,N,3,DEFAULT,16031.735522102092,2
164.0,26,54000.0,RENT,7.0,DEBTCONSOLIDATION,C,25000.0,14.83,10,Y,2,DEFAULT,18023.321673490205,4
165.0,23,14000.0,OWN,2.0,DEBTCONSOLIDATION,C,4000.0,,3,N,3,DEFAULT,3842.807929687036,4
166.0,24,200000.0,RENT,8.0,MEDICAL,A,12000.0,12.69,10,,2,NO DEFAULT,60548.184334449186,2
167.0,24,200000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,B,12000.0,13.49,10,,2,NO DEFAULT,57703.02409574983,4
168.0,21,200000.0,MORTGAGE,5.0,EDUCATION,B,16000.0,14.65,10,,4,NO DEFAULT,65056.7116418282,4
169.0,25,54000.0,RENT,3.0,HOMEIMPROVEMENT,D,25000.0,16.82,10,N,4,DEFAULT,20502.995184170744,4
170.0,23,60000.0,RENT,3.0,PERSONAL,B,25000.0,12.73,10,N,3,DEFAULT,10617.397787037246,3
171.0,23,60000.0,RENT,7.0,PERSONAL,A,25000.0,10.25,10,N,4,DEFAULT,24184.987198551746,3
172.0,21,60000.0,RENT,6.0,EDUCATION,A,25000.0,10.99,10,N,4,DEFAULT,6508.550320451233,4
173.0,25,61959.0,RENT,9.0,MEDICAL,B,25000.0,12.73,10,N,2,DEFAULT,16554.694738249502,1
174.0,22,56400.0,RENT,2.0,HOMEIMPROVEMENT,C,25000.0,14.96,10,Y,3,DEFAULT,12597.243970604153,3
175.0,23,200000.0,MORTGAGE,7.0,EDUCATION,A,28000.0,,10,,2,NO DEFAULT,69522.14330056352,5
176.0,21,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,25000.0,13.99,10,,2,NO DEFAULT,33663.47680931756,5
177.0,24,200000.0,MORTGAGE,3.0,VENTURE,A,24000.0,7.49,10,Y,4,NO DEFAULT,33369.58208037519,5
178.0,26,200000.0,MORTGAGE,4.0,EDUCATION,B,15000.0,14.79,10,,3,NO DEFAULT,97827.74421737638,3
179.0,25,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,A,15500.0,11.99,10,,2,NO DEFAULT,80231.47579360857,5
180.0,24,200000.0,RENT,8.0,EDUCATION,A,10000.0,8.49,4,,4,NO DEFAULT,25609.268832062997,3
181.0,24,66000.0,RENT,3.0,EDUCATION,A,25000.0,9.91,10,N,2,DEFAULT,28282.353817517906,2
182.0,22,66000.0,RENT,6.0,EDUCATION,B,25000.0,13.06,10,Y,3,DEFAULT,22931.856414388352,4
183.0,22,200000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000.0,6.17,2,,4,NO DEFAULT,82807.7845488766,2
184.0,144,200000.0,MORTGAGE,4.0,EDUCATION,A,6000.0,11.86,4,,2,NO DEFAULT,84215.23926739478,2
185.0,25,200000.0,RENT,5.0,EDUCATION,C,18000.0,16.32,10,,3,NO DEFAULT,97673.47899482837,4
186.0,25,200000.0,MORTGAGE,2.0,VENTURE,A,12000.0,10.38,10,,2,NO DEFAULT,92079.44052235475,2
187.0,25,200000.0,MORTGAGE,9.0,PERSONAL,B,23050.0,14.35,10,,3,NO DEFAULT,66215.74837285305,1
188.0,24,200000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,A,20000.0,,10,,3,NO DEFAULT,36800.82091033272,3
189.0,24,60000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,,10,Y,2,DEFAULT,9937.602714633476,2
190.0,21,14400.0,OWN,0.0,HOMEIMPROVEMENT,A,3000.0,,1,N,4,DEFAULT,4503.080411763905,5
191.0,26,66996.0,RENT,10.0,PERSONAL,C,25000.0,15.21,10,Y,2,DEFAULT,19590.892091421578,1
192.0,23,67000.0,RENT,3.0,EDUCATION,A,25000.0,7.9,10,N,4,DEFAULT,32980.55838540041,5
193.0,24,67000.0,RENT,2.0,VENTURE,A,25000.0,10.99,10,N,3,DEFAULT,14728.562400213847,1
194.0,24,68000.0,RENT,5.0,PERSONAL,C,25000.0,14.09,10,Y,3,DEFAULT,28804.500716766714,5
195.0,25,69000.0,RENT,9.0,PERSONAL,C,25000.0,17.49,10,N,2,DEFAULT,18945.88191618409,5
196.0,25,200000.0,MORTGAGE,0.0,EDUCATION,A,12000.0,11.48,10,,3,NO DEFAULT,75687.52615629301,2
197.0,26,188000.0,MORTGAGE,10.0,VENTURE,D,20000.0,17.74,10,N,2,DEFAULT,71045.4188294018,3
198.0,26,200000.0,MORTGAGE,4.0,PERSONAL,B,3000.0,13.92,6,,3,NO DEFAULT,57450.49158417905,5
199.0,25,69996.0,RENT,9.0,EDUCATION,C,25000.0,15.21,10,N,3,DEFAULT,25224.86091961966,1
200.0,22,14400.0,OWN,2.0,MEDICAL,A,4000.0,10.99,2,Y,3,DEFAULT,1512.9345996034272,2
201.0,24,70000.0,RENT,3.0,EDUCATION,A,25000.0,11.86,10,N,4,DEFAULT,21625.282920236372,5
202.0,24,14400.0,OWN,5.0,PERSONAL,A,6000.0,7.49,4,N,3,DEFAULT,1677.35923489535,5
203.0,24,56100.0,RENT,7.0,MEDICAL,C,25000.0,16.49,10,N,4,DEFAULT,9361.465815763673,2
204.0,25,66000.0,RENT,9.0,VENTURE,C,25000.0,15.33,10,Y,2,DEFAULT,9857.090670139807,3
205.0,26,66000.0,RENT,3.0,HOMEIMPROVEMENT,A,25000.0,11.58,10,N,4,DEFAULT,6803.846832927688,3
206.0,25,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,5,N,2,DEFAULT,5110.047570573305,3
207.0,25,72612.0,RENT,9.0,MEDICAL,B,25000.0,13.11,10,N,2,DEFAULT,25803.953467075673,3
208.0,23,74000.0,RENT,3.0,MEDICAL,A,25000.0,10.36,10,N,3,DEFAULT,10572.297865220644,1
209.0,25,75000.0,RENT,9.0,DEBTCONSOLIDATION,A,25000.0,10.36,10,Y,2,DEFAULT,14304.287215434328,2
210.0,24,192000.0,RENT,0.0,MEDICAL,B,22000.0,,10,Y,2,NO DEFAULT,94865.5838918952,1
211.0,21,192000.0,MORTGAGE,123.0,VENTURE,A,20000.0,6.54,10,,4,NO DEFAULT,66565.24272212239,5
212.0,25,191000.0,MORTGAGE,1.0,MEDICAL,A,10000.0,12.53,5,,4,NO DEFAULT,24900.296196920946,2
213.0,26,190300.0,MORTGAGE,5.0,PERSONAL,A,15000.0,,10,,3,NO DEFAULT,69586.05346422746,1
214.0,22,190000.0,MORTGAGE,3.0,VENTURE,B,10000.0,,2,,3,NO DEFAULT,62605.108337110345,2
215.0,24,75000.0,RENT,4.0,EDUCATION,A,25000.0,10.25,10,N,4,DEFAULT,29833.22856701856,5
216.0,22,71000.0,RENT,1.0,EDUCATION,C,25000.0,15.95,10,Y,4,DEFAULT,21758.76903379931,5
217.0,26,190000.0,MORTGAGE,3.0,VENTURE,A,20000.0,12.18,10,,4,NO DEFAULT,51145.037406153766,2
218.0,23,189996.0,OWN,0.0,PERSONAL,A,24000.0,11.83,10,,3,NO DEFAULT,53642.57049942774,4
